momID,trial_num,fishID,col_location,col_month,lat_to_trial,weight,length,depth,svl,MatingSuccess,NumDeveloped,NumUndeveloped,totalEggs,mated,relative_fit
FL12F1,12,1,TBML,november,13,3.6,189.603,6.972,87.644,0,0,0,0,0,0
FL12F2,12,2,TBML,november,13,4.6,195.714,7.464,83.414,0,0,0,0,0,0
FL12F3,12,3,TBML,november,13,4.5,190.545,7.709,88.796,4,204,32,236,1,3.9747368
FL12F4,12,4,TBML,november,13,5.6,201.046,8.654,92.544,0,0,0,0,0,0
FL12F5,12,5,TBML,november,13,3.1,170.164,6.707,80.435,4,173,66,239,1,4.0252632
FL12F6,12,6,TBML,november,13,2,164.242,5.179,71.73,0,0,0,0,0,0
FL12F7,12,7,TBML,november,13,2,154.88,4.843,67.778,0,0,0,0,0,0
FL12F8,12,8,TBML,november,13,2.2,167.522,5.655,73.457,0,0,0,0,0,0
FL2F1,2,1,TBML,october,12,4.8,199.032,7.376,88.812,0,0,0,0,0,0
FL2F2,2,2,TBML,october,12,2.4,169.335,5.32,76.236,0,0,0,0,0,0
FL2F3,2,3,TBML,october,12,5.3,209.808,8.059,103.071,0,0,0,0,0,0
FL2F4,2,4,TBML,september,19,3.1,171.947,6.569,77.543,0,0,0,0,0,0
FL2F5,2,5,TBML,september,19,1.7,147.601,4.996,63.396,2,131,28,159,1,2.3864916
FL2F6,2,6,TBML,september,19,1.9,152.714,4.68,70.134,0,0,0,0,0,0
FL2F7,2,7,TBML,september,19,3.5,184.933,6.452,85.602,2,122,48,170,1,2.5515947
FL2F8,2,8,TBML,september,19,2.7,175.575,6.269,78.212,4,163,41,204,1,3.0619137
FL3F1,3,1,TBML,october,19,5.6,203.611,8.484,95.139,0.8,85,3,88,1,0.2911497
FL3F2,3,2,TBML,october,12,3.4,181.831,8.033,86.401,2.4,731,31,762,1,2.5210918
FL3F3,3,3,TBML,october,5,1.2,142.32,3.914,63.24,0.8,154,131,285,1,0.942928
FL3F4,3,4,TBML,october,5,4,181.386,8.575,85.176,2.4,785,131,916,1,3.0306038
FL3F5,3,5,TBML,october,5,3.3,162.618,6.991,76.801,1.6,350,17,367,1,1.2142266
FL3F6,3,6,TBML,october,19,1.2,139.352,4.015,63.443,0,0,0,0,0,0
FL3F7,3,7,TBML,october,19,1.4,148.166,4.285,64.288,0,0,0,0,0,0
FL3F8,3,8,TBML,october,5,2,156.81,5.194,72.794,0,0,0,0,0,0
FL4F1,4,1,FD,october,11,2.1,156.414,5.208,66.831,0,0,0,0,0,0
FL4F2,4,2,FD,october,11,4.7,202.084,7.211,91.533,2.666667,168,0,168,1,1.7777778
FL4F3,4,3,FD,october,11,5.1,197.892,8.56,89.645,1.333333,31,4,35,1,0.3703704
FL4F4,4,4,TBML,october,14,3,182.398,6.214,79.505,0,0,0,0,0,0
FL4F5,4,5,TBML,october,14,4.1,197.452,7.179,89.68,2.666667,50,76,126,1,1.3333333
FL4F6,4,6,TBML,october,14,1.7,144.463,4.346,66.446,0,0,0,0,0,0
FL4F7,4,7,TBML,october,14,2.1,163.219,5.99,70.72,0,0,0,0,0,0
FL4F8,4,8,TBML,october,14,1.7,152.466,6.161,65.521,1.333333,395,32,427,1,4.5185185
FL5F1,5,1,TBML,october,8,1.1,155.761,4.854,57.688,0,0,0,0,0,0
FL5F2,5,2,TBML,october,8,1.2,138.234,4.51,59.274,0,0,0,0,0,0
FL5F3,5,3,FD,october,12,4.2,199.048,6.862,91.479,0,0,0,0,0,0
FL5F4,5,4,FD,october,12,3.5,178.421,6.389,80.983,4,527,23,550,1,3.6184211
FL5F5,5,5,FD,october,12,3.1,188.505,7.037,81.81,2,384,46,430,1,2.8289474
FL5F6,5,6,FD,october,12,3.2,179.746,6.803,80.759,2,230,6,236,1,1.5526316
FL5F7,5,7,FD,october,12,29,180.301,5.71,82.105,0,0,0,0,0,0
FL5F8,5,8,FD,october,12,3.3,175.911,6.62,78.497,0,0,0,0,0,0
FL6F1,6,1,TBML,october,20,2.1,164.714,5.805,70.595,0,0,0,0,0,0
FL6F2,6,2,TBML,october,20,5.6,211.777,8.452,95.709,0,0,0,0,0,0
FL6F3,6,3,TBML,october,20,5.3,204.937,8.159,85.194,0,0,0,0,0,0
FL6F4,6,4,TBML,october,11,1.7,152.162,5.249,69.552,0,0,0,0,0,0
FL6F5,6,5,TBML,october,13,3,170.718,7.772,79.468,4,263,0,263,1,4.803653
FL6F6,6,6,TBML,october,13,6.1,215.716,8.912,97.194,0,0,0,0,0,0
FL6F7,6,7,TBML,october,13,5.7,204.212,9.391,90.367,0,0,0,0,0,0
FL6F8,6,8,TBML,october,13,2.1,160.683,5.807,71.635,4,175,0,175,1,3.196347
FL8F1,8,1,TBML,october,28,3.2,187.551,5.919,87.162,0,0,0,0,0,0
FL8F2,8,2,TBML,october,28,5.3,213.903,7.713,98.804,4,7,66,73,1,2.4435146
FL8F3,8,3,TBML,october,30,4.5,204.794,7.912,88.361,0,0,0,0,0,0
FL8F4,8,4,TBML,october,28,7.1,224.516,8.608,103.74,0,0,0,0,0,0
FL8F5,8,5,TBML,october,28,2.7,174.166,6.447,74.061,4,146,20,166,1,5.5564854
FL8F6,8,6,TBML,october,28,3.7,190.161,6.365,84.046,0,0,0,0,0,0
FL8F7,8,7,DC,october,21,2.8,179.241,5.923,82.302,0,0,0,0,0,0
FL8F8,8,8,TBML,october,28,1.7,151.385,4.692,65.763,0,0,0,0,0,0
